try_on,gender,category,url,title,price,special_price,img_url,id
False,F,上身類,https://www.net-fashion.net/product/350440,人物印花寬鬆T恤,,250.0,https://net.wimg.tw/files/1/products/350432_400_900E9BB91E889B2.jpg?v=24472,350440
False,F,上身類,https://www.net-fashion.net/product/350368,下擺拼接蕾絲上衣,359.0,,https://net.wimg.tw/files/1/products/350364_400_802E7B289E7B4AB.jpg?v=24472,350368
False,F,上身類,https://www.net-fashion.net/product/350484,迪士尼角色印花T恤,299.0,,https://net.wimg.tw/files/1/products/350480_400_300E6B7BAE781B0E7B289.jpg?v=24472,350484
False,F,上身類,https://www.net-fashion.net/product/352069,羅紋不修邊短版上衣,199.0,,https://net.wimg.tw/files/1/products/352057_400_105E6B7BAE9A79DE889B2.jpg?v=24472,352069
False,F,上身類,https://www.net-fashion.net/product/350396,羅紋素面捲邊上衣,259.0,,https://net.wimg.tw/files/1/products/350388_400_701E6B7BAE8978D.jpg?v=24472,350396
False,F,上身類,https://www.net-fashion.net/product/350653,TSUMTSUM印花T恤,299.0,,https://net.wimg.tw/files/1/products/350653_400_002E799BDE889B2.jpg?v=24472,350653
False,F,上身類,https://www.net-fashion.net/product/350633,左胸TSUMTSUM印花T恤,299.0,,https://net.wimg.tw/files/1/products/350629_400_511E88AA5E9BB83.jpg?v=24472,350633
False,F,上身類,https://www.net-fashion.net/product/350472,三眼怪印花T恤,299.0,,https://net.wimg.tw/files/1/products/350468_400_801E6B7BAE781B0E7B4AB.jpg?v=24472,350472
False,F,上身類,https://www.net-fashion.net/product/350460,口袋俏皮印字T恤,259.0,,https://net.wimg.tw/files/1/products/350456_400_102E58DA1E585B6.jpg?v=24472,350460
False,F,上身類,https://www.net-fashion.net/product/350356,V領荷葉袖寬鬆上衣,259.0,,https://net.wimg.tw/files/1/products/350356_400_206E58FAFE58FAFE889B2.jpg?v=24472,350356
False,F,上身類,https://www.net-fashion.net/product/350424,澎袖鬆緊腰短版上衣,399.0,,https://net.wimg.tw/files/1/products/350420_400_314E7B289E7B485.jpg?v=24472,350424
False,F,上身類,https://www.net-fashion.net/product/350336,方領假排釦背心,259.0,,https://net.wimg.tw/files/1/products/350336_400_314E7B289E7B485.jpg?v=24472,350336
False,F,上身類,https://www.net-fashion.net/product/347960,純棉抽皺短袖上衣,399.0,,https://net.wimg.tw/files/1/products/347956_400_703E6B7A1E8978D.jpg?v=24472,347960
False,F,上身類,https://www.net-fashion.net/product/348903,純棉抽皺短袖上衣,399.0,,https://net.wimg.tw/files/1/products/348903_400_510E6B7BAE88AA5E9BB83.jpg?v=24472,348903
False,F,上身類,https://www.net-fashion.net/product/350016,手繪風愛麗絲印花T恤,299.0,,https://net.wimg.tw/files/1/products/350008_400_314E7B289E7B485.jpg?v=24472,350016
False,F,上身類,https://www.net-fashion.net/product/347825,V領短版荷葉袖上衣,359.0,,https://net.wimg.tw/files/1/products/347822_400_602E6B7BAE7B6A0.jpg?v=24472,347825
False,F,上身類,https://www.net-fashion.net/product/346603,小恐龍印花T恤,,250.0,https://net.wimg.tw/files/1/products/346599_400_900E9BB91E889B2.jpg?v=24472,346603
False,F,上身類,https://www.net-fashion.net/product/346515,勵志小語印花T恤,,250.0,https://net.wimg.tw/files/1/products/346511_400_307E6B7A1E7B289E7B485.jpg?v=24472,346515
False,F,上身類,https://www.net-fashion.net/product/350068,大自然風景印花T恤,,250.0,https://net.wimg.tw/files/1/products/350064_400_322E78F8AE7919AE7B485.jpg?v=24472,350068
False,F,上身類,https://www.net-fashion.net/product/346992,迪士尼反派角色印花T恤,299.0,,https://net.wimg.tw/files/1/products/346992_400_002E799BDE889B2.jpg?v=24472,346992
False,F,上身類,https://www.net-fashion.net/product/350080,環保意識綁帶T恤,259.0,,https://net.wimg.tw/files/1/products/350076_400_322E78F8AE7919AE7B485.jpg?v=24472,350080
False,F,上身類,https://www.net-fashion.net/product/350044,素色挖背背心,,175.0,https://net.wimg.tw/files/1/products/350036_400_326E7A39AE7B485.jpg?v=24472,350044
False,F,上身類,https://www.net-fashion.net/product/346727,俏皮黑熊刺繡T恤,299.0,,https://net.wimg.tw/files/1/products/346723_400_022E9BABBE781B0.jpg?v=24472,346727
False,F,上身類,https://www.net-fashion.net/product/350028,手繪風維尼印花T恤,299.0,,https://net.wimg.tw/files/1/products/350020_400_505E6B7BAE9BB83.jpg?v=24472,350028
False,F,上身類,https://www.net-fashion.net/product/350004,小熊維尼印花T恤,299.0,,https://net.wimg.tw/files/1/products/349996_400_900E9BB91E889B2.jpg?v=24472,350004
False,F,上身類,https://www.net-fashion.net/product/346623,週五微笑印花T恤,259.0,,https://net.wimg.tw/files/1/products/346619_400_105E6B7BAE9A79DE889B2.jpg?v=24472,346623
False,F,上身類,https://www.net-fashion.net/product/346651,迪士尼公主印花T恤,299.0,,https://net.wimg.tw/files/1/products/346643_400_801E6B7BAE781B0E7B4AB.jpg?v=24472,346651
False,F,上身類,https://www.net-fashion.net/product/347816,短版扭結設計上衣,399.0,,https://net.wimg.tw/files/1/products/347816_400_102E58DA1E585B6.jpg?v=24472,347816
False,F,上身類,https://www.net-fashion.net/product/345331,領綁帶背心,399.0,,https://net.wimg.tw/files/1/products/345327_400_314E7B289E7B485.jpg?v=24472,345331
False,F,上身類,https://www.net-fashion.net/product/346872,寬版條紋附口袋T恤,299.0,,https://net.wimg.tw/files/1/products/346872_400_511E88AA5E9BB83.jpg?v=24472,346872
False,F,上身類,https://www.net-fashion.net/product/346739,復古交通工具印花T恤,299.0,,https://net.wimg.tw/files/1/products/346735_400_003E7B1B3E799BD.jpg?v=24472,346739
False,F,上身類,https://www.net-fashion.net/product/346928,純棉手繪印花T恤,259.0,,https://net.wimg.tw/files/1/products/346924_400_003E7B1B3E799BD.jpg?v=24472,346928
False,F,上身類,https://www.net-fashion.net/product/345355,荷葉袖圓領雪紡上衣,599.0,,https://net.wimg.tw/files/1/products/345351_400_101E6B7BAE58DA1E585B6.jpg?v=24472,345355
False,F,上身類,https://www.net-fashion.net/product/346587,純棉印字T恤,,250.0,https://net.wimg.tw/files/1/products/346587_400_002E799BDE889B2.jpg?v=24472,346587
False,F,上身類,https://www.net-fashion.net/product/350092,Bear印花T恤,259.0,,https://net.wimg.tw/files/1/products/350088_400_616E781B0E7B6A0.jpg?v=24472,350092
False,F,上身類,https://www.net-fashion.net/product/350156,下擺綁結短版T恤,199.0,,https://net.wimg.tw/files/1/products/350156_400_002E799BDE889B2.jpg?v=24472,350156
False,F,上身類,https://www.net-fashion.net/product/347860,蕾絲連肩袖上衣,299.0,,https://net.wimg.tw/files/1/products/347852_400_326E7A39AE7B485.jpg?v=24472,347860
False,F,上身類,https://www.net-fashion.net/product/346972,TSUMTSUM印花T恤,299.0,,https://net.wimg.tw/files/1/products/346964_400_304E781B0E7B4ABE7B485.jpg?v=24472,346972
False,F,上身類,https://www.net-fashion.net/product/350152,大圖印字寬鬆短版T恤,299.0,,https://net.wimg.tw/files/1/products/350144_400_900E9BB91E889B2.jpg?v=24472,350152
False,F,上身類,https://www.net-fashion.net/product/348021,單口袋圓領多色T恤,,199.0,https://net.wimg.tw/files/1/products/348011_400_705E8978DE889B2.jpg?v=24472,348021
False,F,上身類,https://www.net-fashion.net/product/346838,純棉V領短袖上衣,,199.0,https://net.wimg.tw/files/1/products/346823_400_511E88AA5E9BB83.jpg?v=24472,346838
False,F,上身類,https://www.net-fashion.net/product/345568,圓領寬肩背心,199.0,,https://net.wimg.tw/files/1/products/345564_400_205E6B7BAE6A395E889B2.jpg?v=24472,345568
False,F,上身類,https://www.net-fashion.net/product/350056,水果印花T恤,,250.0,https://net.wimg.tw/files/1/products/350052_400_705E8978DE889B2.jpg?v=24472,350056
False,F,上身類,https://www.net-fashion.net/product/349429,素色涼感背心,259.0,,https://net.wimg.tw/files/1/products/349429_400_314E7B289E7B485.jpg?v=24472,349429
False,F,上身類,https://www.net-fashion.net/product/349306,單口袋滿版印花T恤,,199.0,https://net.wimg.tw/files/1/products/349291_400_901E99CA7E9BB91.jpg?v=24472,349306
False,F,上身類,https://www.net-fashion.net/product/349251,反摺袖滿版印花T恤,,199.0,https://net.wimg.tw/files/1/products/349251_400_010E6B7BAE781B0.jpg?v=24472,349251
False,F,上身類,https://www.net-fashion.net/product/346531,純棉英文字樣T恤,,250.0,https://net.wimg.tw/files/1/products/346523_400_802E7B289E7B4AB.jpg?v=24472,346531
False,F,上身類,https://www.net-fashion.net/product/344672,細肩V領寬襬背心,259.0,,https://net.wimg.tw/files/1/products/344672_400_901E99CA7E9BB91.jpg?v=24472,344672
False,F,上身類,https://www.net-fashion.net/product/349548,標籤印字T恤,,250.0,https://net.wimg.tw/files/1/products/349540_400_900E9BB91E889B2.jpg?v=24472,349548
False,F,上身類,https://www.net-fashion.net/product/347912,瑪麗貓甜點印花T恤,299.0,,https://net.wimg.tw/files/1/products/347908_400_003E7B1B3E799BD.jpg?v=24472,347912
False,F,上身類,https://www.net-fashion.net/product/349468,素面連袖短版T恤,199.0,,https://net.wimg.tw/files/1/products/349460_400_300E6B7BAE781B0E7B289.jpg?v=24472,349468
False,F,上身類,https://www.net-fashion.net/product/348120,奇奇蒂蒂短版印花T恤,299.0,,https://net.wimg.tw/files/1/products/348120_400_002E799BDE889B2.jpg?v=24472,348120
False,F,上身類,https://www.net-fashion.net/product/343301,快適排汗POLO衫,,299.0,https://net.wimg.tw/files/1/products/343286_400_703E6B7A1E8978D.jpg?v=24472,343301
False,F,上身類,https://www.net-fashion.net/product/349027,TSUMTSUM寬鬆長版T恤,359.0,,https://net.wimg.tw/files/1/products/349023_400_624E8A490E7B6A0.jpg?v=24472,349027
False,F,上身類,https://www.net-fashion.net/product/348999,英文印字寬版T恤,,250.0,https://net.wimg.tw/files/1/products/348995_400_622E6A984E7B6A0.jpg?v=24472,348999
False,F,上身類,https://www.net-fashion.net/product/348987,交通工具印花短袖T恤,,250.0,https://net.wimg.tw/files/1/products/348983_400_305E7B4ABE7B485.jpg?v=24472,348987
False,F,上身類,https://www.net-fashion.net/product/347032,線條米奇米妮印花T恤,299.0,,https://net.wimg.tw/files/1/products/347024_400_900E9BB91E889B2.jpg?v=24472,347032
False,F,上身類,https://www.net-fashion.net/product/349592,米奇米妮印花T恤,299.0,,https://net.wimg.tw/files/1/products/349592_400_002E799BDE889B2.jpg?v=24472,349592
False,F,上身類,https://www.net-fashion.net/product/349576,爆米花印花T恤,199.0,,https://net.wimg.tw/files/1/products/349572_400_900E9BB91E889B2.jpg?v=24472,349576
False,F,上身類,https://www.net-fashion.net/product/348112,米奇星球印花落肩T恤,359.0,,https://net.wimg.tw/files/1/products/348108_400_804E7B4ABE889B2.jpg?v=24472,348112
False,F,上身類,https://www.net-fashion.net/product/346940,Q版星際大戰印花T恤,299.0,,https://net.wimg.tw/files/1/products/346936_400_020E6B7BAE9BABBE781B0.jpg?v=24472,346940
False,F,上身類,https://www.net-fashion.net/product/349564,迪士尼角色T恤,299.0,,https://net.wimg.tw/files/1/products/349560_400_401E7B289E6A998.jpg?v=24472,349564
False,F,上身類,https://www.net-fashion.net/product/347008,米奇米妮寬鬆短版印花T恤,299.0,,https://net.wimg.tw/files/1/products/347004_400_022E9BABBE781B0.jpg?v=24472,347008
False,F,上身類,https://www.net-fashion.net/product/349162,羅紋圓領短版背心,159.0,,https://net.wimg.tw/files/1/products/349154_400_900E9BB91E889B2.jpg?v=24472,349162
False,F,上身類,https://www.net-fashion.net/product/349508,車邊素面短版T恤,199.0,,https://net.wimg.tw/files/1/products/349488_400_614E6B7BAE781B0E7B6A0.jpg?v=24472,349508
False,F,上身類,https://www.net-fashion.net/product/346984,落肩唐老鴨印花T恤,299.0,,https://net.wimg.tw/files/1/products/346980_400_321E6B7BAE7A39AE7B485.jpg?v=24472,346984
